"msg_id","msg_level","msg_area","msg_name","msg_desc"
"1CFF-000E","INFO","Proxy / FTP","GAV Virus found","Gateway AntiVirus (GAV) detected a virus or malware in the attachment."
"1CFF-000F","INFO","Proxy / FTP","GAV scan error","Gateway AntiVirus (GAV) failed to scan due to the error specified in the log message."
"1CFF-0001","INFO","Proxy / FTP","Password too long","The password specified for the user exceeds the maximum length configured in the FTP proxy."
"1CFF-0002","INFO","Proxy / FTP","File or directory name too long","The file or directory name exceeds the maximum length configured in the FTP proxy."
"1CFF-0003","INFO","Proxy / FTP","Command line too long","The command exceeded the maximum length configured in the FTP proxy."
"1CFF-0004","INFO","Proxy / FTP","Exceeded maximum allowed login attempts","The user exceeded the configured maximum number of allowed failed log in attepmts per connection."
"1CFF-0005","INFO","Proxy / FTP","Command match","The command matched a configured rule, or the default of no match."
"1CFF-0006","INFO","Proxy / FTP","Download match","The file type matched a configured download rule, or the default rule of no match."
"1CFF-0007","INFO","Proxy / FTP","Upload match","The file type matched a configured upload rule, or the default rule of no match."
"1CFF-0008","INFO","Proxy / FTP","Timeout","The connection exceeded the configured idle time value."
"1CFF-0009","INFO","Proxy / FTP","Invalid request","The FTP proxy rejected the command because of a lack of required arguments, such as a user name."
"1CFF-0010","INFO","Proxy / FTP","Application match","Application Control identified an application in the FTP client request or server response."
"1CFF-0011","INFO","Proxy / FTP","DLP violation found","Data Loss Prevention (DLP) detected a rule violation."
"1CFF-0012","INFO","Proxy / FTP","DLP cannot perform scan","Data Loss Prevention (DLP) failed to scan because of the error specified in the log message."
"1CFF-0013","INFO","Proxy / FTP","DLP cannot scan object","Data Loss Prevention (DLP) could not scan and analyze the attachment because it is encrypted."
"1CFF-0014","INFO","Proxy / FTP","DLP object too large","Data Loss Prevention (DLP) could not analyze the attachment because the file was larger than the configured limit."
"1CFF-0015","INFO","Proxy / FTP","APT threat detected","APT Blocker identified a threat."
"1CFF-0017","INFO","Proxy / FTP","File submitted to APT analysis server","File submitted to APT analysis server for deep threat analysis."
"1CFF-0018","INFO","Proxy / FTP","File reported safe from APT hash check","APT hash check did not report a threat from the object"
"1CFF-0019","ERROR","Proxy / FTP","FTP Bounce Attempt","FTP proxy -- User attempted FTP bounce"
"1DFF-0000","INFO","Proxy / DNS","Invalid number of questions","The traffic was blocked because the message included an invalid number of questions."
"1DFF-000A","INFO","Proxy / DNS","Response answer undersized","The DNS response was blocked because the response size was less than the minimum value of 17 bytes."
"1DFF-000C","INFO","Proxy / DNS","Response ID Invalid","The DNS response was blocked because the response ID did not match the current or previous request ID."
"1DFF-000E","INFO","Proxy / DNS","Query question match","The DNS query name matched a configured rule, or the default rule of no match."
"1DFF-000F","INFO","Proxy / DNS","Request","The DNS request audit log specifies the query type and name."
"1DFF-0001","INFO","Proxy / DNS","Query name oversized","The DNS query was blocked because the DNS query name exceeded the allowed buffer size, which varies from 0 kilobytes to 64 kilobytes."
"1DFF-0002","INFO","Proxy / DNS","Query name compressed","The DNS query was blocked because the domain name was compressed."
"1DFF-0003","INFO","Proxy / DNS","Parse error","The DNS request was blocked because the proxy failed to parse the domain name."
"1DFF-0004","INFO","Proxy / DNS","Not Internet CLASS","The DNS query was not Internet CLASS."
"1DFF-0005","INFO","Proxy / DNS","OPcode match","The OpCode matched a configured rule, or the default rule of no match."
"1DFF-0006","INFO","Proxy / DNS","Query type match","The query type matched a configured rule, or the default rule of no match."
"1DFF-0007","INFO","Proxy / DNS","Question undersized","The DNS query was blocked because the query size was less than the minimum valid size of 17 bytes."
"1DFF-0008","INFO","Proxy / DNS","Question oversized","The DNS query was blocked because the query size exceeds the maximum allowed size of 271 bytes."
"1DFF-0009","INFO","Proxy / DNS","Timeout","The DNS connection was idle longer than the configured timeout value in the DNS policy."
"1DFF-0010","INFO","Proxy / DNS","IPS match","Intrusion Prevention Service (IPS) detected an intrusion threat."
"1DFF-0012","INFO","Proxy / DNS","Application match","Application Control identified the application type from the DNS client query and server response."
"2AFF-0000","INFO","Proxy / H.323","Timeout","The connection was idle longer than the configured timeout value. The default value is 180 seconds."
"2AFF-0001","INFO","Proxy / H.323","Request","This log message specifies the IP addresses for the completed H323 call."
"2AFF-0002","INFO","Proxy / H.323","Codec","The media codec is denied because it matched a configured Denied Codec."
"2AFF-0003","INFO","Proxy / H.323","Access control","The header address is allowed or denied because it matches an Access Control rule configured in the H323 policy."
"2AFF-0006","INFO","Proxy / H.323","IPS match","Intrusion Prevention Service (IPS) detected an intrusion threat."
"2AFF-0007","INFO","Proxy / H.323","Application match","Application Control detected an application type from the transaction."
"2CFF-0000","INFO","Proxy / HTTPS","Request","HTTPS transaction log includes server name, certificate details and action taken."
"2CFF-0001","INFO","Proxy / HTTPS","WebBlocker Request categories","WebBlocker identified the category for a web request."
"2CFF-0002","INFO","Proxy / HTTPS","WebBlocker service unavailable","WebBlocker failed because a WebBlocker Server was not available."
"2CFF-0003","INFO","Proxy / HTTPS","Domain name match","This rule log includes the matched rule name or default rule of no match and the patterns its been matched against."
"2CFF-0007","INFO","Proxy / HTTPS","Protocol invalid","The HTTPS proxy detected an invalid SSL version."
"2CFF-0008","INFO","Proxy / HTTPS","Timeout","The HTTPS connection was idle longer than the timeout value configured in the HTTPS policy."
"2CFF-0009","INFO","Proxy / HTTPS","Content inspection","The HTTPS traffic was directed to a different proxy action because of the Content Inspection settings in the HTTPS proxy."
"2DFF-0000","INFO","Proxy / TCP-UDP","Request","TCP-UDP transaction log for the traffic that is configured to allow or deny."
"2DFF-0001","INFO","Proxy / TCP-UDP","IPS match","Intrusion Prevention Service (IPS) detected an intrusion threat in TCP-UDP proxy traffic."
"2DFF-0004","INFO","Proxy / TCP-UDP","Protocol","The TCP-UDP proxy recognized the protocol."
"2DFF-0005","INFO","Proxy / TCP-UDP","Application match","Application Control identified the application type from the TCP-UDP proxy traffic."
"21FF-000A","INFO","Proxy / POP3","Request","This audit log message specifies the bytes sent, bytes received, and user."
"21FF-0000","INFO","Proxy / POP3","CAPA","The CAPA response contained the unknown or blocked capability that is specified in the log message."
"21FF-000C","INFO","Proxy / POP3","IPS match","Intrusion Prevention Service (IPS) detected an intrusion threat."
"21FF-000F","INFO","Proxy / POP3","GAV Virus found","Gateway AntiVirus detected a virus or malware in the file."
"21FF-001A","INFO","Proxy / POP3","spamBlocker exception matched","The sender for the email matched a spamBlocker exception rule."
"21FF-0001","INFO","Proxy / POP3","Authentication","The authentication type matched a rule, or the default rule of no match."
"21FF-001B","INFO","Proxy / POP3","spamBlocker not spam","spamBlocker classified the message as not SPAM."
"21FF-001C","INFO","Proxy / POP3","spamBlocker classification unknown","spamBlocker was unable to classify the message because of the error specified in the log message."
"21FF-001D","INFO","Proxy / POP3","Extra pad characters","The POP3 proxy encountered extra pad characters in the body of a base64-encoded message."
"21FF-001E","INFO","Proxy / POP3","Application match","Application Control identified the application from the email message."
"21FF-001F","INFO","Proxy / POP3","APT threat detected","APT Blocker found the threat specified in the log message in an attached file."
"21FF-0002","INFO","Proxy / POP3","Command","The client sent an authentication command when it was not allowed."
"21FF-0005","INFO","Proxy / POP3","Header","A POP3 header matched a configured Header rule, or the default rule of no match."
"21FF-0006","INFO","Proxy / POP3","Content type","A MIME-type matched a configured content type rule, or the default rule of no match."
"21FF-0007","INFO","Proxy / POP3","File name","The attachment matches a configured file name rule, or the default rule of no match."
"21FF-0009","INFO","Proxy / POP3","Timeout","The connection was idle for longer than the configured timeout limit."
"21FF-0010","INFO","Proxy / POP3","GAV cannot perform scan","Gateway AntiVirus (GAV) failed to scan because of the error specified in the log message."
"21FF-0012","INFO","Proxy / POP3","Line length too long","A line exceeds the configured limit."
"21FF-0014","INFO","Proxy / POP3","Message format","The message is not in an allowed format."
"21FF-0015","INFO","Proxy / POP3","Encoding error","The proxy was unable to decode and encode the message because of the error specified in the log message."
"21FF-0016","INFO","Proxy / POP3","spamBlocker confirmed spam","spamBlocker classified the message as confirmed SPAM."
"21FF-0017","INFO","Proxy / POP3","spamBlocker BULK spam","spamBlocker classified the message as bulk SPAM."
"21FF-0018","INFO","Proxy / POP3","spamBlocker suspect spam","spamBlocker classified the message as suspect SPAM."
"21FF-0021","INFO","Proxy / POP3","File submitted to APT analysis server","File submitted to APT analysis server for deep threat analysis."
"21FF-0022","INFO","Proxy / POP3","File reported safe from APT hash check","APT hash check did not report a threat from the object"
"28FF-0000","INFO","Proxy / SIP","Timeout","The connection was idle for longer than the configured timeout value."
"28FF-0004","INFO","Proxy / SIP","Request","The log message specifies the source and destination of the allowed call."
"28FF-0005","INFO","Proxy / SIP","Codec","The codec is allowed or denied based on the setting for Denied Codecs in the SIP policy."
"28FF-0006","INFO","Proxy / SIP","Access control","The header address is allowed or denied based on the Access Control settings."
"28FF-0008","INFO","Proxy / SIP","IPS match","Intrusion Prevention Service (IPS) detected an intrusion threat."
"28FF-0009","INFO","Proxy / SIP","Application match","Application Control identified an application from the transaction."
"5501-000C","INFO","Management / System","Device restore failed","Device auto restore from a specific image in a USB drive disc or normal restore from a normal image failed"
"5501-000D","INFO","Management / System","Creating USB auto restore image failed","Creation of USB auto restore image failed due to %s"
"5501-001B","INFO","Management / System","System backup failed","System backup %s%s failed due to %s."
"5501-001C","INFO","Management / System","USB auto restore failed reason","USB auto restore failed due to %s"
"5501-0010","INFO","Management / System","USB drive format","USB drive format operation was %s"
"5501-0018","INFO","Management / System","Reset to the default configuration failed","The default configuration settings were not restored after a system reset."
"5501-0017","INFO","Management / System","Generate system diagnostic successfully","Exported system diagnostic file to %s successfully"
"5501-0014","INFO","Management / System","Generate system diagnostic file failed","Generate system diagnostic file to %s failed"
"5501-0015","INFO","Management / System","Periodic support snapshot is enabled","System periodic support snapshot is enabled"
"3D04-0001","INFO","Management / Logging","Primary Log Server connected","The device successfully connected to the WatchGuard Log Server designated as the primary server."
"3D04-0002","INFO","Management / Logging","Backup Log Server connected","The device successfully connected to the WatchGuard Log Server designated as the backup server."
"3E00-0002","INFO","Management / Accounting","User login succeeded","A user successfully logged in."
"3E00-0003","WARN","Management / Accounting","User login failed","A user log in attempt failed."
"3E00-0004","INFO","Management / Accounting","User logout","A user successfully logged out."
"133F-0065","ERROR","Management / Authentication Portal","Customized certificate generation error","A custom certificate failed to generate."
"0101-0001","INFO","Management / Configuration","Device configuration change","The device configuration has been changed."
"0101-0002","INFO","Management / Configuration","Administrative accounts reset to default","The administrative accounts were returned to the default settings."
"0102-0001","INFO","Management / Configuration","Feature key added","An administrator added a feature key."
"0102-0002","INFO","Management / Configuration","Feature key removed","An administrator has removed a feature key."
"0102-0003","WARN","Management / Configuration","Feature expired","'%s' feature expired."
"0102-0005","INFO","Management / Configuration","Feature expiration reminder","A feature will soon expire."
"0104-0001","INFO","Management / Configuration","Default device settings in use for safe mode","The device configuration was reset to the default settings because the device is in safe mode."
"1100-000C","WARN","Management / Authentication","Authentication error","Authentication failed."
"1100-000D","WARN","Management / Authentication","Authentication server unavailable","Authentication failed because both the primary and secondary authentication servers are unavailable."
"1100-000E","WARN","Management / Authentication","Unsupported RADIUS method","Authentication failed because the specified RADIUS method is not supported."
"1100-000F","WARN","Management / Authentication","Groups maximum reached","Authentication failed because the maximum number of groups has been reached."
"5501-000B","INFO","Management / System","Device restore","Device was restored from a saved backup image."
"5501-001A","WARN","Management / System","Upgrade failed","System upgrade failed: %s"
"5501-001D","INFO","Management / System","Logo upload succeeded","Upload of logo succeeded"
"1100-0003","INFO","Management / Authentication","Authentication server unavailable","The external authentication server is not available."
"1100-0004","INFO","Management / Authentication","User authentication succeeded","The user successfully authenticated."
"1100-0005","WARN","Management / Authentication","User authentication failed","User authentication failed."
"1500-0000","INFO","Management / Management Client","Device configuration update with audit trail","The updated configuration file was successfully sent to the device from the specified Management Server."
"1500-0001","INFO","Management / Management Client","Device configuration update","The device retrieved an updated configuration file from the specified Management Server."
"1501-0000","INFO","Management / Management Client","IPSec certificate import","The IPsec certificate was successfully imported from the specified Management Server."
"1501-0001","INFO","Management / Management Client","Management Server CA certificate import","The Management Server CA certificate was successfully imported from the specified Management Server."
"4001-0002","ERROR","Management / Certificate","CA certificate updated failed","CA certificate updated failed."
"4001-0001","INFO","Management / Certificate","CA certificate updated successfully","The CA certificate updated successfully to the specified new version."
"4100-0001","INFO","Management / LiveSecurity","RapidDeploy succeeded","The RapidDeploy package from the LiveSecurity service was successfully applied to the device."
"4100-0002","ERROR","Management / LiveSecurity","RapidDeploy failed","The RapidDeploy package was not applied to the device."
"4100-0004","ERROR","Management / LiveSecurity","New RSS feed update failed","New RSS feed from the LiveSecurity Service failed to update."
"4100-0005","INFO","Management / LiveSecurity","Feature key download succeeded","The feature key for the device was successfully downloaded from the LiveSecurity Service."
"4100-0003","INFO","Management / LiveSecurity","New RSS feed update succeeded","New RSS feed from the LiveSecurity Service was updated."
"4100-0007","INFO","Management / LiveSecurity","Wireless country specification update succeeded","The wireless country specification was successfully updated from the LiveSecurity service."
"4100-0006","ERROR","Management / LiveSecurity","Feature key download failed","The feature key could not be downloaded from the LiveSecurity Service."
"4100-0008","ERROR","Management / LiveSecurity","Wireless country specification update failed","The wireless country specification could not be downloaded from the LiveSecurity service."
"4101-0001","INFO","Management / LiveSecurity","RapidDeploy configuration from USB succeeded","The RapidDeploy configuration was successfully applied from a USB drive."
"4101-0002","ERROR","Management / LiveSecurity","RapidDeploy configuration from USB failed","The RapidDeploy configuration was not successfully applied from a USB drive."
"5501-0002","ERROR","Management / System","LIVESECURITY feature not found","LIVESECURITY feature not found"
"5501-0000","INFO","Management / System","Bootup time","System boot up at %s"
"5501-0003","ERROR","Management / System","LIVESECURITY expired","LIVESECURITY expired"
"5501-0004","INFO","Management / System","Shutdown","Shutdown requested by system"
"5501-0005","INFO","Management / System","Reboot","System is rebooting"
"5501-0008","INFO","Management / System","Time change","System time changed from %s to %s"
"5501-0007","INFO","Management / System","Automatic reboot","System is automatically rebooting at %d:%d"
"5501-0006","INFO","Management / System","Upgrade succeeded","System upgrade to %s successful, %s"
"5501-0013","INFO","Management / System","USB auto restore started","USB auto restore started"
"5501-0016","INFO","Management / System","Feature expiration reminder","'LIVESECURITY' feature will expire on %s"
"5501-0019","WARN","Management / System","Configuration reset failed during a downgrade","During a system downgrade, the configuration reset failed"
"5501-0021","INFO","Management / System","Device restore success","Device auto restore from a specific image in USB drive or normal restore from a normal image"
"5501-0020","INFO","Management / System","Backup succeeded","System backup succeeded"
"5501-0022","INFO","Management / System","USB auto restore image created","USB auto restore image successfully created"
"5800-0001","INFO","Management / NTP","System time changed","The system time was changed by the NTP process."
"3A00-000A","INFO","Cluster / Event Monitoring","VR notification gap","Member Virtual Router changed state to master due to notification gap from current master"
"3A00-000B","INFO","Cluster / Event Monitoring","VRRP master state","Virtual Router state changed to master"
"3A00-000C","ERROR","Cluster / Event Monitoring","VRRP initialization failed","Initialization of Virtual Router Redundancy Protocol (VRRP) failed."
"3A00-0002","INFO","Cluster / Event Monitoring","VRRP enabled","Virtual Router Redundancy Protocol (VRRP) is now enabled for this Active/Passive Cluster."
"3A00-0004","INFO","Cluster / Event Monitoring","VRRP start master","VRRP started in master state."
"3A00-0005","INFO","Cluster / Event Monitoring","VR shutdown","Virtual Router returned to initial state."
"3A00-0006","INFO","Cluster / Event Monitoring","VR pause","Virtual Router becomes backup due to a pause event."
"3A00-0007","INFO","Cluster / Event Monitoring","VR resume","Virtual Router becomes master due to a resume event."
"3A00-0008","INFO","Cluster / Event Monitoring","VR backup state","Virtual Router state changed from master to backup"
"3B00-0001","INFO","Cluster / Transport","Channel status change","The cluster communication channel between the specified members changed state."
"3B00-0002","INFO","Cluster / Transport","Cluster interface down","The specified Cluster interface is down."
"3800-025C","INFO","Cluster / Management","Configuration update","Cluster member received an updated configuration from the master."
"3800-0002","ERROR","Cluster / Management","DHCP overwrite","A DHCP server has attempted to assign an IP address to cluster member on the Cluster Interface."
"3800-0003","INFO","Cluster / Management","Cluster interface up","Cluster interface link status changed to up."
"3800-0004","WARN","Cluster / Management","Cluster interface down","Cluster interface link status changed to down."
"3800-0264","WARN","Cluster / Management","Time synchronization failure","The cluster master's attempt to synchronize time to a cluster member failed"
"3A00-000E","INFO","Cluster / Event Monitoring","VR enabled","The Virtual Router representing the cluster is now enabled"
"3A00-000F","INFO","Cluster / Event Monitoring","VR disabled","The Virtual Router representing the cluster is now disabled"
"3800-025A","INFO","Cluster / Management","Cluster enabled","Cluster was enabled on the specified member."
"3800-025B","INFO","Cluster / Management","Cluster disabled on master","Cluster disabled on the cluster member while it was the cluster master."
"3800-027A","WARN","Cluster / Management","Non-master member removed","The non-master member of the Cluster will be reset to factory-default settings because it was removed from the cluster."
"3800-027E","ERROR","Cluster / Management","Factory-default reset failed","Failed to reset to factory-default settings."
"3900-000C","ERROR","Cluster / Operations","Synchronization failed","Full state synchronization from the master to the specified member failed."
"3900-000D","ERROR","Cluster / Operations","Synchronization timeout","Full state synchronization from the master to the specified member timed out."
"3900-000E","INFO","Cluster / Operations","Synchronization successful","Full state synchronization to the specified member was successful."
"3900-000F","ERROR","Cluster / Operations","Failover due to link-down","Cluster failover due to a link failure on the current master, which now has a health index lower than the backup master."
"3800-0278","WARN","Cluster / Management","Cluster disabled","The non-master member of the cluster will be reset to factory default-settings because FireCluster is disabled."
"3800-0279","WARN","Cluster / Management","Critical configuration change","The non-master member of the cluster will be reset to factory-default settings due to a critical configuration change."
"3800-0282","INFO","Cluster / Management","Member ready to join","Local member has FireCluster enabled and is ready to join."
"3800-0280","ERROR","Cluster / Management","Device discovery failed","The cluster master was unable to issue a device discovery message."
"3900-0005","INFO","Cluster / Operations","Member promoted to master","The specified member has become master."
"3900-0003","WARN","Cluster / Operations","Heartbeat lost","The specified Cluster failed to receive a heartbeat message."
"3900-0007","ERROR","Cluster / Operations","Failover due to WAI","The master failed over to the specified member because that member has a higher health score than the master."
"3900-0010","INFO","Cluster / Operations","Member role change","The cluster member changed to the specified role."
"3900-0012","INFO","Cluster / Operations","New master","The specified member has taken over as master.."
"3900-0011","INFO","Cluster / Operations","Interface link status change","Specified monitored interface link status changed, which will change the health index for the member."
"3900-0015","INFO","Cluster / Operations","Failover initiated by administrator","The administrator has initiated a failover."
"3900-0016","WARN","Cluster / Operations","Cannot initiate failover","The failover requested by administrator cannot proceed because the master has a higher health index, or the backup master is unreachable."
"3900-0019","ERROR","Cluster / Operations","Failover due to interface state change","A cluster failover event occurred due to a change of interface state."
"3900-0058","INFO","Cluster / Operations","Member Role Change","The role of the specified Cluster member changed."
"1F00-0001","ERROR","Security Services / Gateway Anti-Virus","Process failed to start","ScanD -- Process failed to start"
"1F01-0015","INFO","Security Services / Gateway Anti-Virus","Ready for service","ScanD -- Ready for service"
"2E00-0005","ERROR","Security Services / Signature Update","Process exiting","SIGD -- Process exiting"
"2E00-0006","ERROR","Security Services / Signature Update","Process crashed","SIGD -- Process crashed"
"2E01-001A","ERROR","Security Services / Signature Update","Signature update process failed to start","SIGD -- Signature update process failed to start"
"2E01-001B","ERROR","Security Services / Signature Update","Signature update process crashed","SIGD -- Signature update process crashed"
"2E01-0017","WARN","Security Services / Signature Update","License failed to load","SIGD -- License failed to load"
"2E01-0018","ERROR","Security Services / Signature Update","Failed to start the signature update for the specified services","SIGD -- Failed to the start signature update for the specified services"
"2E01-0019","ERROR","Security Services / Signature Update","Failed to check the available signature version on the server","SIGD -- Failed to check the available signature version on the server"
"2E02-0065","INFO","Security Services / Signature Update","Signature update process started","SIGD -- Signature update process started"
"2E02-0066","INFO","Security Services / Signature Update","Signature update process completed","SIGD -- Signature update process completed"
"2E02-0067","ERROR","Security Services / Signature Update","Signature update process for the specified version failed","SIGD -- Signature update process for the specified version failed"
"2E02-0069","INFO","Security Services / Signature Update","Device has the latest signature version for the specified service","SIGD -- Device has the latest signature version for specified service"
"2300-0001","ERROR","Security Services / spamBlocker","Failed to start","spamD -- Failed to start"
"2300-0002","INFO","Security Services / spamBlocker","Ready for service","spamD -- Ready for service"
"020B-0001","INFO","VPN / IPSEC","Tunnel status changed","The status of the IPSec tunnel changed to up or down."
"5B01-0004","INFO","VPN / L2TP","Update user session","Mobile VPN with L2TP updated the session for the specified user."
"5B01-0005","INFO","VPN / L2TP","Delete user session","Deleted a Mobile VPN with L2TP session with the specified virtual IP address."
"021A-000A","ERROR","VPN / IPSEC","IKEv2 IKE_SA_INIT message received on wrong interface","IKEv2 IKE_SA_INIT negotiation failed because IKE message from peer was received on the wrong interface."
"021A-000B","ERROR","VPN / IPSEC","IKEv2 remote gateway endpoint ID mismatch","IKEv2 IKE_AUTH negotiation failed because the remote ID in the gateway endpoint configuration did not match the proposed ID received from the remote gateway."
"021A-000C","ERROR","VPN / IPSEC","IKEv2 local gateway endpoint ID mismatch","IKEv2 IKE_AUTH negotiation failed because the local ID in the gateway endpoint configuration did not match the proposed ID received from the remote gateway."
"021A-000D","ERROR","VPN / IPSEC","Received IKEv2 message does not have expected payloads","IKEv2 message exchange failed because the received message from the peer does not have the expected payloads"
"021A-000E","ERROR","VPN / IPSEC","IKEv2 IKE proposal mismatch","The IKEv2 message exchange failed because the IKE proposal in the received message did not match the expected proposal."
"021A-000F","ERROR","VPN / IPSEC","IKEv2 KE DH-Group mismatch","IKEv2 message exchange failed because the DH group in the received Key Exchange (KE) payload does not match the DH-Group in the selected proposal."
"021A-001A","ERROR","VPN / IPSEC","Received invalid SPI during IKEv2 IPSec SA rekey","IKEv2 IPSec SA rekey failed because the peer sent an invalid SPI."
"021A-0001","ERROR","VPN / IPSEC","Dropped received IKEv2 message","Dropped received invalid IKEv2 message."
"021A-001B","ERROR","VPN / IPSEC","No response from remote gateway","IKEv2 connection was terminated because there was no response from the remote site."
"021A-0002","ERROR","VPN / IPSEC","IKE SA not found to handle IKE_SA_INIT_R message","IKE SA was not found to handle the received IKE_SA_INIT_R message."
"021A-0003","ERROR","VPN / IPSEC","Gateway endpoint not found to handle IKE_SA_INIT_R message","Gateway endpoint was not found to handle the received IKE_SA_INIT_R message"
"021A-0004","INFO","VPN / IPSEC","IKEv2 IKE SA is in deleting state","Received IKEv2 message was ignored because the corresponding IKE SA to handle the message was in DELETING state."
"021A-0005","ERROR","VPN / IPSEC","Invalid message ID in IKEv2 exchange","Received IKEv2 message was dropped because it has invalid message ID."
"021A-0006","ERROR","VPN / IPSEC","IKEv2 gateway endpoint was not found to handle the received message","IKEv2 gateway endpoint was not found to handle the received message."
"021A-0007","ERROR","VPN / IPSEC","IKEv2 gateway endpoint version not matched","IKEv2 message exchange failed because the received IKE version did not match the IKE version configured on the local gateway."
"021A-0008","ERROR","VPN / IPSEC","IKEv2 gateway endpoint is disabled","The IKEv2 gateway endpoint is disabled."
"021A-0009","ERROR","VPN / IPSEC","IKEv2 gateway ID mismatch","IKEv2 IKE_AUTH negotiation failed because the remote ID configured in the gateway endpoint did not match proposed ID received from the remote gateway."
"021A-0010","ERROR","VPN / IPSEC","IKEv2 IPSec KE DH-Group mismatch","IKEv2 message exchange failed because the DH group in the received Key Exchange (KE) payload does not match the DH-Group in the selected proposal."
"021A-0011","ERROR","VPN / IPSEC","Received unacceptable traffic selector during first CHILD SA negotiation.","Received unacceptable traffic selector during first CHILD SA negotiation."
"021A-0012","ERROR","VPN / IPSEC","IKEv2 peer authentication method mismatch.","IKEv2 peer authentication method mismatch."
"021A-0013","ERROR","VPN / IPSEC","IKEv2 peer authentication failed","IKEv2 tunnel negotiation failed because the local gateway could not authenticate the remote gateway."
"021A-0014","ERROR","VPN / IPSEC","IKEv2 PSK mismatch","IKEv2 tunnel negotiation failed because of possible PSK mismatch."
"021A-0015","ERROR","VPN / IPSEC","Received IKEv2 IKE_SA_INIT notification error message.","Received IKEv2 IKE_SA_INIT notification error message."
"021A-0016","ERROR","VPN / IPSEC","Received IKEv2 CREATE_CHILD_SA/IKE_AUTH notification error message.","Received IKEv2 CREATE_CHILD_SA/IKE_AUTH notification error message."
"021A-0017","INFO","VPN / IPSEC","IKEv2 IKE SA established","IKEv2 IKE SA is established because IKE_AUTH negotiation is finished or IKE SA is rekeyed."
"021A-0018","ERROR","VPN / IPSEC","IKEv2 tunnel proposal mismatch.","IKEv2 tunnel proposal mismatch."
"021A-0019","ERROR","VPN / IPSEC","Received invalid SPI during first CHILD SA negotiation.","Received invalid SPI during first CHILD SA negotiation."
"0203-000A","ERROR","VPN / IPSEC","IKE Phase 1 invalid Main Mode second message","IKE Phase 1 negotiation failed because of invalid second message received by local gateway."
"0203-000B","ERROR","VPN / IPSEC","IKE Phase 1 invalid Main Mode Key Exchange payload","IKE Phase 1 negotiation failed because local gateway received invalid Main Mode Key Exchange (KE) payload"
"0203-000C","ERROR","VPN / IPSEC","IKE Phase 1 invalid main mode ID","IKE Phase 1 negotiation failed because of invalid Main Mode ID payload received by local gateway."
"0203-000D","ERROR","VPN / IPSEC","IKE Phase 1 invalid aggressive mode hash","IKE Phase 1 negotiation failed because invalid aggressive mode hash payload received by specified local gateway."
"0203-000E","ERROR","VPN / IPSEC","IKE Phase 1 invalid Aggressive mode SA payload","IKE Phase 1 negotiation failed because of invalid Aggressive mode security association (SA) payload received by specified local gateway."
"0203-000F","INFO","VPN / IPSEC","IKE Phase 1 matching aggressive mode policy not found","IKE Phase 1 negotiation because local gateway did not find a matching aggressive mode policy."
"0203-002A","ERROR","VPN / IPSEC","IKE Phase 1 IKE version mismatch","IKE Phase 1 negotiation failed because the received IKE version did not match the IKE version configured on the local gateway."
"0205-000A","ERROR","VPN / IPSEC","IKE Phase 2 tunnel route mismatch","The IPSec tunnel negotiation failed because the proposed tunnel routes did not match the tunnel configuration."
"0205-000B","ERROR","VPN / IPSEC","IKE Phase 2 message retry timeout","The IPSec tunnel negotiation failed because an expected response was not received before the message retry timeout."
"0205-000C","ERROR","VPN / IPSEC","IKE Phase2 message retry timeout because Phase 1 SA expired","The IPSec tunnel negotiation failed because the Phase 1 Security Association (SA) expired."
"0205-000D","ERROR","VPN / IPSEC","IKE Phase 2 PFS not enabled","The IPSec tunnel negotiation failed because the Perfect Forward Secrecy (PFS) value did not match the Phase 2 configuration."
"0205-000E","ERROR","VPN / IPSEC","IKE Phase 2 wait timeout","The IPSec tunnel negotiation failed because an expected response was not received before the expected time."
"0205-000F","WARN","VPN / IPSEC","Rejected Phase 2 negotiation due to incorrect gateway","Rejected Phase 2 negotiation the proposal did not use the preferred IKE gateway endpoint."
"0200-0001","ERROR","VPN / IPSEC","Default certificate not found","The IPSec tunnel could not be negotiated because the default IPSec certificate is not installed or is not valid."
"0200-0002","ERROR","VPN / IPSEC","Failed to read certificate","The IPSec tunnel could not be negotiated because the IPSec certificate is not valid."
"0202-0001","WARN","VPN / IPSEC","IP address not available for Mobile VPN with IPSec user","All virtual IP addresses allocated to this Mobile VPN with IPSec group are already assigned."
"0203-0002","ERROR","VPN / IPSEC","IKE Phase 1 expecting main mode","IKE Phase 1 negotiation failed because of incorrect exchange type in proposal from remote gateway."
"0203-0003","ERROR","VPN / IPSEC","IKE Phase 1 expecting aggressive mode","IKE Phase 1 negotiation failed because of incorrect exchange type in proposal from remote gateway."
"0203-0004","ERROR","VPN / IPSEC","IKE Phase 1 DH group mismatch","IKE Phase 1 negotiation failed because of incorrect Diffe-Hellman group in proposal from remote gateway."
"0203-0005","ERROR","VPN / IPSEC","IKE Phase 1 hash mismatch","IKE Phase 1 negotiation failed because of incorrect hash type in proposal from remote gateway."
"0203-0006","ERROR","VPN / IPSEC","IKE Phase 1 encryption mismatch","IKE Phase 1 negotiation failed because of incorrect encryption type in proposal from remote gateway."
"0203-0007","ERROR","VPN / IPSEC","IKE Phase 1 authentication method mismatch","IKE Phase 1 negotiation failed because of incorrect authentication method in proposal from remote gateway."
